"fct_inorder.MY.","Alex(Sum)","Large_PN(Sum)","Small_PN(Sum)","Alex(avg)","Large_PN(avg)","Small_PN(avg)","phosphorus","silica","tss","chla","nitrogen","salinity","temperature"
"Feb - 2017",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Mar - 2017",15,0,60,3,0,12,NA,NA,NA,NA,NA,NA,NA
"Apr - 2017",30,0,0,7.5,0,0,0.007605,0.808,17.85714,9.55119,0.0524,24.7875299760192,8.47122302158273
"May - 2017",180,0,0,45,0,0,0.01303,0.636,18.392855,1.30355,0.0575,26.1088985896575,9.60967092008059
"Jun - 2017",120,960,397.5,24,192,79.5,0.0133825,0.8089225,17.67857,0.39386,0.055095,27.8919184820801,11.6704497540408
"Jul - 2017",45,60,120,11.25,15,30,NA,0.85747,21.78571,1.511695,0.01563,30.001512780386,15.0417318727178
"Aug - 2017",30,0,0,7.5,0,0,0.01401,0.122026666666667,15,1.66749,0.12166,30.7313633310947,15.4547683008731
"Sep - 2017",0,517.5,1732.5,0,103.5,346.5,0.0178875,0.287375,NA,13.527815,0.1504075,30.8690492713393,15.2222761970854
"Oct - 2017",0,247.5,1057.5,0,61.875,264.375,0.025245,NA,NA,1.71985,0.161275,31.2158252015274,13.1232074671192
"Nov - 2017",0,847.5,645,0,169.5,129,0.02035,0.46583,NA,0.836555,0.1535,29.6604586518416,8.87649305555555
"Dec - 2017",0,2685,1897.5,0,671.25,474.375,0.0305975,0.4255475,NA,2.496185,0.254175,30.7046675621222,5.48556077904634
"Jan - 2018",0,712.5,142.5,0,142.5,28.5,NA,NA,NA,NA,NA,30.2441532258065,1.96389452332657
"Feb - 2018",0,195,150,0,48.75,37.5,NA,NA,NA,NA,NA,29.4039315448659,2.90948196114709
"Mar - 2018",0,0,52.5,0,0,13.125,NA,NA,NA,NA,NA,NA,NA
"Apr - 2018",15,0,7.5,3,0,1.5,NA,NA,17.1409533333333,1.36861,0.023,19.3,6
"May - 2018",30,37.5,1762.5,7.5,9.375,440.625,0.01026,NA,20.71143,6.07806964420893,0.0605,31.8,15
"Jun - 2018",15,75,2010,3,15,402,0.01149,NA,18.21143,12.6823333333333,0.0115,32.5714285714286,14.95
"Jul - 2018",30,1237.5,1275,6,247.5,255,0.0199566666666667,NA,18.5704766666667,19.030336,0.13007,33.5833333333333,18.45
"Aug - 2018",0,472.5,172.5,0,118.125,43.125,0.0337911111111111,NA,20.5939688888889,47.724225,0.07154,32.3714285714286,19.3857142857143
"Sep - 2018",0,210,60,0,52.5,15,0.0205533333333333,NA,21.4295233333333,4.76152666666667,0.1133325,26.5136420395421,19.9678903539209
"Oct - 2018",0,735,390,0,183.75,97.5,0.0201733333333333,NA,23.21143,2.966555,0.114725,23.9744209466264,13.1414372061786
"Nov - 2018",0,210,427.5,0,52.5,106.875,0.01864,NA,12.8590466666667,1.078085,0.116415,14.4704012841091,6.97104925053533
"Dec - 2018",0,60,15,0,20,5,0.0199777777777778,NA,12.5,0.83406,0.15221,12.17,3.4
