"fct_inorder.MY.","phosphorus","silica","tss","chla","nitrogen","salinity","temperature","N.P","species.sum","abundance.sum","species.avg","abundance.avg"
"Feb - 2017",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",0,"Alex.avg.",0
"Mar - 2017",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",15,"Alex.avg.",3
"Apr - 2017",0.007605,0.808,17.85714,9.55119,0.0524,24.7875299760192,8.47122302158273,6.89020381328074,"Alex.Sum.",30,"Alex.avg.",7.5
"May - 2017",0.01303,0.636,18.392855,1.30355,0.0575,26.1088985896575,9.60967092008059,4.41289332310054,"Alex.Sum.",180,"Alex.avg.",45
"Jun - 2017",0.0133825,0.8089225,17.67857,0.39386,0.055095,27.8919184820801,11.6704497540408,4.11694376984868,"Alex.Sum.",120,"Alex.avg.",24
"Jul - 2017",NA,0.85747,21.78571,1.511695,0.01563,30.001512780386,15.0417318727178,NA,"Alex.Sum.",45,"Alex.avg.",11.25
"Aug - 2017",0.01401,0.122026666666667,15,1.66749,0.12166,30.7313633310947,15.4547683008731,8.68379728765168,"Alex.Sum.",30,"Alex.avg.",7.5
"Sep - 2017",0.0178875,0.287375,NA,13.527815,0.1504075,30.8690492713393,15.2222761970854,8.40852550663871,"Alex.Sum.",0,"Alex.avg.",0
"Oct - 2017",0.025245,NA,NA,1.71985,0.161275,31.2158252015274,13.1232074671192,6.38839374133492,"Alex.Sum.",0,"Alex.avg.",0
"Nov - 2017",0.02035,0.46583,NA,0.836555,0.1535,29.6604586518416,8.87649305555555,7.54299754299754,"Alex.Sum.",0,"Alex.avg.",0
"Dec - 2017",0.0305975,0.4255475,NA,2.496185,0.254175,30.7046675621222,5.48556077904634,8.30705122967563,"Alex.Sum.",0,"Alex.avg.",0
"Jan - 2018",NA,NA,NA,NA,NA,30.2441532258065,1.96389452332657,NA,"Alex.Sum.",0,"Alex.avg.",0
"Feb - 2018",NA,NA,NA,NA,NA,29.4039315448659,2.90948196114709,NA,"Alex.Sum.",0,"Alex.avg.",0
"Mar - 2018",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",0,"Alex.avg.",0
"Apr - 2018",NA,NA,17.1409533333333,1.36861,0.023,19.3,6,NA,"Alex.Sum.",15,"Alex.avg.",3
"May - 2018",0.01026,NA,20.71143,6.07806964420893,0.0605,31.8,15,5.89668615984405,"Alex.Sum.",30,"Alex.avg.",7.5
"Jun - 2018",0.01149,NA,18.21143,12.6823333333333,0.0115,32.5714285714286,14.95,1.00087032201915,"Alex.Sum.",15,"Alex.avg.",3
"Jul - 2018",0.0199566666666667,NA,18.5704766666667,19.030336,0.13007,33.5833333333333,18.45,6.51762151327876,"Alex.Sum.",30,"Alex.avg.",6
"Aug - 2018",0.0337911111111111,NA,20.5939688888889,47.724225,0.07154,32.3714285714286,19.3857142857143,2.11712481915034,"Alex.Sum.",0,"Alex.avg.",0
"Sep - 2018",0.0205533333333333,NA,21.4295233333333,4.76152666666667,0.1133325,26.5136420395421,19.9678903539209,5.51406908855012,"Alex.Sum.",0,"Alex.avg.",0
"Oct - 2018",0.0201733333333333,NA,23.21143,2.966555,0.114725,23.9744209466264,13.1414372061786,5.68696298744218,"Alex.Sum.",0,"Alex.avg.",0
"Nov - 2018",0.01864,NA,12.8590466666667,1.078085,0.116415,14.4704012841091,6.97104925053533,6.24543991416309,"Alex.Sum.",0,"Alex.avg.",0
"Dec - 2018",0.0199777777777778,NA,12.5,0.83406,0.15221,12.17,3.4,7.61896551724137,"Alex.Sum.",0,"Alex.avg.",0
"Jan - 2019",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",0,"Alex.avg.",0
"Feb - 2019",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",0,"Alex.avg.",0
"Mar - 2019",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",0,"Alex.avg.",0
"Apr - 2019",0.014,NA,11.4,2.98,0.0723333333333333,18.0888717156105,11.9,5.16666666666666,"Alex.Sum.",0,"Alex.avg.",0
"May - 2019",0.015,NA,19.6333333333333,12.42,0.048,31.3,12,3.2,"Alex.Sum.",210,"Alex.avg.",52.5
"Jun - 2019",0.013,NA,11.4,9.34,0.02,31.55,14.3375,1.53846153846154,"Alex.Sum.",750,"Alex.avg.",187.5
"Jul - 2019",NA,NA,NA,11.76,0.036,32.4333333333333,17.7111111111111,NA,"Alex.Sum.",765,"Alex.avg.",153
"Aug - 2019",0.033,NA,57.1,15.1133333333333,0.037,33.4285714285714,17.5142857142857,1.12121212121212,"Alex.Sum.",0,"Alex.avg.",0
"Sep - 2019",0.029,NA,19.6,19.47,0.0153333333333333,29.5350572717806,17.4,0.528735632183907,"Alex.Sum.",0,"Alex.avg.",0
"Oct - 2019",0.02,NA,17.5,2.04,0.058,29.2990258649647,13.5,2.9,"Alex.Sum.",0,"Alex.avg.",0
"Nov - 2019",0.0273333333333333,NA,16.2333333333333,1.41666666666667,0.157,24.7744791666667,5,5.7439024390244,"Alex.Sum.",0,"Alex.avg.",0
"Feb - 2020",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",0,"Alex.avg.",0
"Mar - 2020",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",52.5,"Alex.avg.",10.5
"Apr - 2020",0.00968,NA,NA,NA,0.12794,19.4432714285714,9.2,13.2169421487603,"Alex.Sum.",0,"Alex.avg.",0
"May - 2020",0.00729,NA,NA,8.12055,0.0167,21.9480080618072,17.2,2.29080932784637,"Alex.Sum.",22.5,"Alex.avg.",5.625
"Jun - 2020",0.01218,NA,NA,3.80812,NA,30.85,15.3111111111111,NA,"Alex.Sum.",15,"Alex.avg.",3
"Jul - 2020",0.0287,NA,NA,5.73815333333333,0.0388,30.7333333333333,17.5888888888889,1.35191637630662,"Alex.Sum.",0,"Alex.avg.",0
"Aug - 2020",0.04206,NA,NA,6.22241,0.0204,31.1333333333333,19.75,0.485021398002853,"Alex.Sum.",0,"Alex.avg.",0
"Sep - 2020",0.03587,NA,NA,15.44574,0.0307,31.2039465463381,20.5,0.855868413716197,"Alex.Sum.",0,"Alex.avg.",0
"Oct - 2020",0.02488,NA,NA,2.06035666666667,0.0647,31.1345549210615,12.5,2.60048231511254,"Alex.Sum.",0,"Alex.avg.",0
"Nov - 2020",0.02294,NA,NA,4.09283,0.1196,29.1561992363763,6.8,5.21360069747167,"Alex.Sum.",0,"Alex.avg.",0
"Dec - 2020",0.0301166666666667,NA,NA,1.56288,0.153633333333333,23.186012195122,NA,5.10127282789152,"Alex.Sum.",0,"Alex.avg.",0
"Jan - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",0,"Alex.avg.",0
"Feb - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",0,"Alex.avg.",0
"Mar - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",0,"Alex.avg.",0
"Apr - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",37.5,"Alex.avg.",9.375
"May - 2021",NA,NA,NA,NA,NA,31,11,NA,"Alex.Sum.",37.5,"Alex.avg.",7.5
"Jun - 2021",NA,NA,NA,NA,NA,31.7,14.2111111111111,NA,"Alex.Sum.",15,"Alex.avg.",3.75
"Jul - 2021",NA,NA,NA,NA,NA,28.55,18.025,NA,"Alex.Sum.",0,"Alex.avg.",0
"Aug - 2021",NA,NA,NA,NA,NA,29.55,19.475,NA,"Alex.Sum.",7.5,"Alex.avg.",1.875
"Sep - 2021",NA,NA,NA,NA,NA,32.5,17.9,NA,"Alex.Sum.",0,"Alex.avg.",0
"Oct - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",0,"Alex.avg.",0
"Nov - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",0,"Alex.avg.",0
"Dec - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",0,"Alex.avg.",0
"Jan - 2022",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",0,"Alex.avg.",0
"Feb - 2022",NA,NA,NA,NA,NA,NA,NA,NA,"Alex.Sum.",0,"Alex.avg.",0
"Dec - 2019",0.022,NA,16.8,1.25,0.144333333333333,23.231718061674,1.6,6.56060606060605,"Alex.Sum.",NA,"Alex.avg.",NA
"Jan - 2017",NA,NA,NA,NA,NA,30.3299748110831,5.19496221662468,NA,"Alex.Sum.",NA,"Alex.avg.",NA
"Feb - 2017",NA,NA,NA,NA,NA,NA,NA,NA,"Large_PN.Sum.",0,"Alex.avg.",0
"Mar - 2017",NA,NA,NA,NA,NA,NA,NA,NA,"Large_PN.Sum.",0,"Alex.avg.",3
"Apr - 2017",0.007605,0.808,17.85714,9.55119,0.0524,24.7875299760192,8.47122302158273,6.89020381328074,"Large_PN.Sum.",0,"Alex.avg.",7.5
