valuedatetime,Month,Year,datavalue,dataqualitycode,variable,units,sitecode,sitename
7/2/2018 15:27,7,2018,12.92874,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
7/3/2018 9:25,7,2018,44.3202,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
7/3/2018 9:26,7,2018,31.68135,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
7/18/2018 6:45,7,2018,3.15833,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
7/18/2018 9:45,7,2018,3.06306,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
8/28/2018 21:00,8,2018,11.61426,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
8/29/2018 21:00,8,2018,83.83419,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/24/2018 11:00,9,2018,2.25421,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/24/2018 13:04,9,2018,2.0801,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/24/2018 15:08,9,2018,6.25495,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/24/2018 17:12,9,2018,15.30398,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/24/2018 19:16,9,2018,14.36552,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/24/2018 21:20,9,2018,4.59598,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/24/2018 23:24,9,2018,1.43495,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/25/2018 1:28,9,2018,1.4211,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/25/2018 3:32,9,2018,4.26259,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/25/2018 5:36,9,2018,8.49987,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/25/2018 7:40,9,2018,9.17732,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/25/2018 9:44,9,2018,3.36173,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/25/2018 11:48,9,2018,1.46478,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/25/2018 13:52,9,2018,1.92733,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/25/2018 15:56,9,2018,3.71132,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/25/2018 18:00,9,2018,12.5769,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/25/2018 20:04,9,2018,5.79605,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/25/2018 22:08,9,2018,3.85899,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/26/2018 0:12,9,2018,1.38129,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/26/2018 2:16,9,2018,1.78232,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/26/2018 4:20,9,2018,3.24911,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/26/2018 6:24,9,2018,5.78606,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/26/2018 8:28,9,2018,5.30961,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/26/2018 10:32,9,2018,5.84265,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/26/2018 12:36,9,2018,2.75738,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/26/2018 14:40,9,2018,3.50758,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/26/2018 16:44,9,2018,6.7016,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/26/2018 18:48,9,2018,4.1007,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/26/2018 20:52,9,2018,3.45285,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/26/2018 22:56,9,2018,3.88522,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/27/2018 1:00,9,2018,2.25452,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/27/2018 3:04,9,2018,3.1038,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/27/2018 5:08,9,2018,4.99905,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/27/2018 7:12,9,2018,6.78094,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/27/2018 9:16,9,2018,3.19262,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/27/2018 11:20,9,2018,6.65063,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/27/2018 13:24,9,2018,2.09614,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/27/2018 15:28,9,2018,4.29162,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/27/2018 17:32,9,2018,4.69546,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/27/2018 19:36,9,2018,4.40344,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/27/2018 21:40,9,2018,6.23104,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/27/2018 23:44,9,2018,3.74491,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/28/2018 1:48,9,2018,2.01167,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/28/2018 3:52,9,2018,2.47611,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/28/2018 5:56,9,2018,4.49699,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/28/2018 8:00,9,2018,6.76839,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/28/2018 10:04,9,2018,6.50066,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
9/28/2018 12:08,9,2018,3.75125,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
10/10/2018 21:00,10,2018,2.44828,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
10/11/2018 21:00,10,2018,3.48483,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
11/5/2018 21:00,11,2018,1.16868,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
11/5/2018 21:01,11,2018,0.98749,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
12/3/2018 21:00,12,2018,0.88944,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
12/3/2018 21:01,12,2018,0.77868,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
