valuedatetime,datavalue,dataqualitycode,variable,units,sitecode,sitename
2018-07-02 15:27:00,0.01092,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-07-03 09:25:00,0.19386,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-07-03 09:26:00,0.19229,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-07-18 06:45:00,0.15727,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-07-18 09:45:00,0.09601,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-08-28 21:00:00,0.02233,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-08-29 21:00:00,0.12075,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-24 11:00:00,0.03688,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-24 13:04:00,0.03554,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-24 15:08:00,0.09847,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-24 17:12:00,0.16666,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-24 19:16:00,0.11822,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-24 21:20:00,0.05662,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-24 23:24:00,0.03331,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-25 01:28:00,0.04148,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-25 03:32:00,0.12157,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-25 05:36:00,0.26735,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-25 07:40:00,0.26568,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-25 09:44:00,0.08137,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-25 11:48:00,0.04197,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-25 13:52:00,0.04493,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-25 15:56:00,0.10887,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-25 18:00:00,0.15614,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-25 20:04:00,0.15862,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-25 22:08:00,0.05347,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-26 00:12:00,0.04478,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-26 02:16:00,0.07559,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-26 04:20:00,0.12033,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-26 06:24:00,0.14144,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-26 08:28:00,0.22603,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-26 10:32:00,0.08075,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-26 12:36:00,0.05013,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-26 14:40:00,0.05931,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-26 16:44:00,0.15402,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-26 18:48:00,0.2175,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-26 20:52:00,0.22046,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-26 22:56:00,0.06692,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-27 01:00:00,0.05377,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-27 03:04:00,0.07766,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-27 05:08:00,0.15334,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-27 07:12:00,0.15278,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-27 09:16:00,0.16348,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-27 11:20:00,0.06034,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-27 13:24:00,0.03686,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-27 15:28:00,0.06003,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-27 17:32:00,0.15246,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-27 19:36:00,0.15481,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-27 21:40:00,0.20822,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-27 23:44:00,0.06939,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-28 01:48:00,0.03808,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-28 03:52:00,0.05348,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-28 05:56:00,0.15616,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-28 08:00:00,0.19158,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-28 10:04:00,0.25277,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
2018-09-28 12:08:00,0.06034,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,04-SAG,SAGAMORE CREEK FROM RTE 1 BRIDGE
