valuedatetime,Month,Year,datavalue,dataqualitycode,variable,units,sitecode,sitename
6/3/2010 12:35,,,30,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/4/2010 11:15,,,30.3,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/8/2010 11:50,,,30.6,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/9/2010 12:35,,,29.7,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/15/2010 12:45,,,28.8,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/16/2010 12:30,,,28.8,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/17/2010 13:02,,,29.2,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/21/2010 12:48,,,30.9,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/24/2010 13:00,,,30.5,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/29/2010 12:25,,,30,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
7/1/2010 12:15,,,30.3,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
7/6/2010 12:55,,,30.2,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
7/9/2010 11:00,,,30.6,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
7/12/2010 12:15,,,30.3,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
7/14/2010 12:45,,,29.8,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
7/20/2010 12:30,,,30.6,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
7/27/2010 13:00,,,30.8,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
7/29/2010 12:30,,,30.4,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
8/10/2010 12:10,,,31.1,Good,Salinity,pss,BCHNWCNWCLF,NEW CASTLE TB-LEFT
