valuedatetime,Month,Year,datavalue,dataqualitycode,variable,units,sitecode,sitename
5/28/2009 13:02,,,10.5,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
5/29/2009 11:17,,,10.5,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/2/2009 11:58,,,11.8,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/3/2009 12:25,,,13,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/9/2009 12:00,,,13,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/10/2009 11:15,,,13.3,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/12/2009 10:30,,,14,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/15/2009 11:45,,,14.9,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/18/2009 12:45,,,13.8,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/23/2009 12:05,,,14.9,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
6/29/2009 9:56,,,15.6,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
7/1/2009 11:30,,,14.9,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
7/6/2009 11:20,,,18.5,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
7/8/2009 12:30,,,15.6,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
7/13/2009 13:00,,,16.1,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
7/14/2009 11:30,,,13.1,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
7/21/2009 12:00,,,17.4,Good,Temperature Water,deg c,BCHNWCNWCLF,NEW CASTLE TB-LEFT
