valuedatetime,datavalue,variable,units,sitecode,sitename,site-variable,year
7/19/00 9:00,0.062,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2000
7/19/00 10:00,0.079,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2000
8/15/00 9:00,0.061,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2000
8/15/00 10:00,0.053,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2000
9/13/00 9:00,0.099,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2000
9/13/00 10:00,0.155,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2000
10/16/00 9:00,0.153,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2000
10/16/00 10:00,0.13,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2000
11/15/00 9:00,0.08,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2000
11/15/00 10:00,0.1,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2000
12/6/00 9:00,0.004,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2000
12/6/00 10:00,0.009,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2000
1/17/01 9:00,0.2,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
1/17/01 10:00,0.19,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
2/26/01 9:00,0.182,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
2/26/01 10:00,0.156,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
3/26/01 9:00,0.199,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
3/26/01 10:00,0.146,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
4/16/01 9:00,0.074,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
4/16/01 10:00,0.108,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
6/5/01 9:00,0.039,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
6/5/01 10:00,0.032,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
7/9/01 9:00,0.0194,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
8/22/01 9:00,0.014,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
9/18/01 9:00,0.0639,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
10/10/01 9:00,0.0604,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
11/7/01 9:00,0.1278,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
12/4/01 9:00,0.0931,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2001
4/15/02 7:30,0.0179,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2002
4/15/02 8:30,0.0294,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2002
4/15/02 14:00,0.028,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2002
4/15/02 15:00,0.0267,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2002
5/15/02 8:00,0.0412,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2002
5/15/02 9:00,0.0365,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2002
5/15/02 14:00,0.0239,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2002
5/15/02 15:00,0.023,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2002
6/12/02 7:00,0.0379,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2002
6/12/02 8:00,0.0343,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2002
6/12/02 13:00,0.0517,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2002
6/12/02 14:00,0.0501,Nitrate + Nitrite,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Nitrate + Nitrite - mg/l,2002
