valuedatetime,Month,datavalue,variable,units,sitecode,sitename,site-variable,year
4/16/2003 5:30,,0.34,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
4/16/2003 6:30,,0.36,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
4/16/2003 11:30,,0.38,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
4/16/2003 12:30,,0.38,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
5/5/2003 8:30,,0.15,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
5/5/2003 9:30,,0.15,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
5/5/2003 13:00,,0.16,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
5/5/2003 14:00,,0.17,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
6/3/2003 12:00,,0.52,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
6/3/2003 13:00,,0.55,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
6/4/2003 8:30,,0.24,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
6/4/2003 9:30,,0.2,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
7/2/2003 8:00,,0.07,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
7/2/2003 9:00,,0.08,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
7/2/2003 12:30,,0.08,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
7/2/2003 13:30,,0.1,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
