valuedatetime,Month,Year,datavalue,dataqualitycode,variable,units,sitecode,sitename
7/9/2001 21:00,,,0.0343,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
7/9/2001 21:01,,,0.0297,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
8/22/2001 21:00,,,0.019,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
8/22/2001 21:01,,,0.019,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
9/18/2001 21:00,,,0.037,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
9/18/2001 21:01,,,0.0267,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
10/10/2001 21:00,,,0.0388,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
10/10/2001 21:01,,,0.0444,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
11/7/2001 21:00,,,0.0761,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
11/7/2001 21:01,,,0.0715,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
12/4/2001 21:00,,,0.0612,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
12/4/2001 21:01,,,0.0497,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
4/15/2002 8:40,,,0.0027,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
4/15/2002 8:41,,,0.0042,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
5/15/2002 9:10,,,0.0942,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
5/15/2002 9:11,,,0.0937,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
6/12/2002 8:10,,,0.1067,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
6/12/2002 8:11,,,0.0627,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
7/10/2002 7:10,,,0.0242,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
7/10/2002 7:11,,,0.0192,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
8/26/2002 9:10,,,0.0051,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
8/26/2002 9:11,,,0.0042,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N Diss",mg/l,GRBGB,GREAT BAY ESTUARY - GREAT BAY
