valuedatetime,Month,Year,datavalue,dataqualitycode,variable,units,sitecode,sitename
5/31/2002 9:00,,,1.13,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
5/31/2002 9:01,,,1.12,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
5/31/2002 11:30,,,2.17,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
5/31/2002 11:31,,,2.57,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
5/31/2002 14:00,,,1.3,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
5/31/2002 14:01,,,2,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
5/31/2002 16:30,,,2.32,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
5/31/2002 16:31,,,2.89,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
5/31/2002 19:00,,,1.46,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
5/31/2002 19:01,,,2.17,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
5/31/2002 21:30,,,1.46,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
5/31/2002 21:31,,,2.1,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/1/2002 2:30,,,1.66,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/1/2002 2:31,,,2.6,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/1/2002 5:00,,,2.46,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/1/2002 5:01,,,1.84,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/1/2002 7:30,,,1.29,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/1/2002 21:00,,,2.4,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/1/2002 21:01,,,1.26,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/25/2002 9:00,,,2.55,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/25/2002 9:01,,,2.38,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/25/2002 11:30,,,3.6,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/25/2002 11:31,,,3.28,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/25/2002 14:00,,,5.43,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/25/2002 14:01,,,4.66,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/25/2002 16:30,,,3.07,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/25/2002 16:31,,,0.57,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/25/2002 19:00,,,1.17,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/25/2002 19:01,,,1.4,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/25/2002 21:30,,,1.54,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/25/2002 21:31,,,1.37,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/26/2002 2:30,,,1.74,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/26/2002 2:31,,,0.7,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/26/2002 5:00,,,1.44,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
6/26/2002 5:01,,,1.07,Good,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBOR,GREAT BAY ESTUARY - OYSTER RIVER
