valuedatetime,datavalue,dataqualitycode,variable,units,sitecode,sitename
2020-04-29 12:24:00,0.12794,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2020-05-27 11:16:00,0.0181,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2020-05-27 11:17:00,0.0153,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2020-07-21 08:51:00,0.0388,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2020-08-19 08:00:00,0.0204,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2020-09-10 13:17:00,0.0307,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2020-10-20 10:27:00,0.0647,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2020-11-20 10:53:00,0.1196,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2020-12-08 12:55:00,0.153,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2020-12-08 12:56:00,0.153,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2020-12-08 12:57:00,0.1549,Good,"Nitrogen, Nitrite (No2) + Nitrate (No3) As N",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
