valuedatetime,datavalue,dataqualitycode,variable,units,sitecode,sitename
2018-05-04 11:30:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 11:30:00,2.38,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 11:45:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 11:45:00,2.68,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 12:00:00,2.65,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 12:00:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 12:15:00,2.53,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 12:15:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 12:30:00,2.47,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 12:30:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 12:45:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 12:45:00,2.49,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 13:00:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 13:00:00,2.68,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 13:15:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 13:15:00,2.58,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 13:30:00,3.05,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 13:30:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 13:45:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 13:45:00,1.88,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 14:00:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 14:00:00,1.96,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 14:15:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 14:15:00,1.85,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 14:30:00,1.87,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 14:30:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 14:45:00,1.82,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 14:45:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 15:00:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 15:00:00,1.93,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 15:15:00,1.98,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 15:15:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 15:30:00,2.18,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 15:30:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 15:45:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 15:45:00,2.13,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 16:00:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 16:00:00,2.18,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 16:15:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 16:15:00,2.06,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 16:30:00,2.21,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 16:30:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 16:45:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 16:45:00,2.25,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 17:00:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 17:00:00,2.01,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 17:15:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 17:15:00,2.06,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
