valuedatetime,datavalue,dataqualitycode,variable,units,sitecode,sitename
2018-05-22 13:43:00,0.01078,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-22 13:43:00,0.01,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-22 13:44:00,0.01,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-06-21 12:52:00,0.01447,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-06-21 12:52:00,0.01,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-06-21 12:53:00,0.01,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-07-17 10:25:00,0.01987,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-07-17 10:25:00,0.02,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-07-17 10:26:00,0.02,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-08-20 14:45:00,0.03423,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-08-20 14:45:00,0.03,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-08-20 14:46:00,0.0409,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-08-20 14:46:00,0.04,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-08-20 14:47:00,0.02899,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-08-20 14:47:00,0.03,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-08-20 14:48:00,0.03,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-08-20 14:49:00,0.04,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-08-20 14:50:00,0.03,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-09-27 08:58:00,0.02166,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-09-27 08:58:00,0.02,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-09-27 08:59:00,0.02,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-10-19 15:37:00,0.02,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-10-19 15:37:00,0.02052,Good,"Phosphorus, Orthophosphate As P Dissolved",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
