valuedatetime,Month,Year,datavalue,dataqualitycode,variable,units,sitecode,sitename
4/11/2018 15:20,4,2018,17.14286,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
4/11/2018 15:20,4,2018,17.14,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
4/11/2018 15:21,4,2018,17.14,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
5/22/2018 13:43,5,2018,20.71,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
5/22/2018 13:43,5,2018,20.71429,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
5/22/2018 13:44,5,2018,20.71,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
6/21/2018 12:52,6,2018,18.21,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
6/21/2018 12:52,6,2018,18.21429,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
6/21/2018 12:53,6,2018,18.21,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
7/17/2018 10:25,7,2018,18.57143,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
7/17/2018 10:25,7,2018,18.57,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
7/17/2018 10:26,7,2018,18.57,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
8/20/2018 14:45,8,2018,20,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
8/20/2018 14:45,8,2018,20,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
8/20/2018 14:46,8,2018,20.71429,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
8/20/2018 14:46,8,2018,20.71,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
8/20/2018 14:47,8,2018,21.07,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
8/20/2018 14:47,8,2018,21.07143,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
8/20/2018 14:48,8,2018,20,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
8/20/2018 14:49,8,2018,20.71,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
8/20/2018 14:50,8,2018,21.07,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
9/27/2018 8:58,9,2018,21.43,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
9/27/2018 8:58,9,2018,21.42857,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
9/27/2018 8:59,9,2018,21.43,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
10/19/2018 15:37,10,2018,23.21429,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
10/19/2018 15:37,10,2018,23.21,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
10/19/2018 15:38,10,2018,23.21,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
11/19/2018 15:15,11,2018,12.85714,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
11/19/2018 15:15,11,2018,12.86,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
11/19/2018 15:16,11,2018,12.86,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
12/1/2018 12:20,12,2018,10,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
12/1/2018 12:20,12,2018,10,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
12/1/2018 12:21,12,2018,15,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
12/1/2018 12:21,12,2018,15,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
12/1/2018 12:22,12,2018,12.5,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
12/1/2018 12:22,12,2018,12.5,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
12/1/2018 12:23,12,2018,10,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
12/1/2018 12:24,12,2018,15,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
12/1/2018 12:25,12,2018,12.5,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
4/25/2019 11:56,4,2019,11.4,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
5/22/2019 10:25,5,2019,17.5,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
5/22/2019 10:26,5,2019,18.2,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
5/22/2019 10:27,5,2019,23.2,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
6/24/2019 12:42,6,2019,11.4,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
8/23/2019 13:11,8,2019,57.1,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
9/18/2019 10:05,9,2019,19.6,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
10/16/2019 9:18,10,2019,17.5,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
11/21/2019 13:28,11,2019,15.4,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
11/21/2019 13:29,11,2019,15.4,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
11/21/2019 13:30,11,2019,17.9,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
12/6/2019 14:14,12,2019,16.8,Good,"Solids, Suspended Total",mg/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
