valuedatetime,Month,datavalue,variable,units,sitecode,sitename,site-variable,year
7/9/2001 9:00,,1.24,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2001
8/22/2001 9:00,,1.07,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2001
9/18/2001 9:00,,1.11,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2001
11/7/2001 9:00,,1.57,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2001
12/4/2001 9:00,,1.49,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2001
4/15/2002 7:30,,4.7,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
4/15/2002 8:30,,4.58,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
4/15/2002 14:00,,4.64,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
4/15/2002 15:00,,5.85,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
5/15/2002 8:00,,0.38,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
5/15/2002 9:00,,0.4,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
5/15/2002 14:00,,0.76,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
5/15/2002 15:00,,0.76,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
6/12/2002 7:00,,0.66,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
6/12/2002 8:00,,1.38,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
6/12/2002 13:00,,1.62,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
6/12/2002 14:00,,0.84,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
7/10/2002 6:00,,1.3,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
7/10/2002 7:00,,1.38,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
7/10/2002 12:00,,1.48,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
7/10/2002 13:00,,1.5,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
8/26/2002 8:00,,1.01,"Chlorophyll A, Corrected For Pheophytin",ug/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Chlorophyll A, Corrected For Pheophytin - ug/l",2002
