valuedatetime,datavalue,variable,units,sitecode,sitename,site-variable,year
7/19/00 9:00,0.016,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2000
7/19/00 10:00,0.012,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2000
8/15/00 9:00,0.02,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2000
8/15/00 10:00,0.018,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2000
9/13/00 9:00,0.025,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2000
9/13/00 10:00,0.032,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2000
10/16/00 9:00,0.021,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2000
10/16/00 10:00,0.023,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2000
11/15/00 9:00,0.022,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2000
11/15/00 10:00,0.023,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2000
12/6/00 9:00,0.024,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2000
12/6/00 10:00,0.021,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2000
1/17/01 9:00,0.021,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2001
1/17/01 10:00,0.022,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2001
2/26/01 9:00,0.016,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2001
2/26/01 10:00,0.016,"Phosphorus, Orthophosphate As P",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Phosphorus, Orthophosphate As P - mg/l",2001
