valuedatetime,datavalue,variable,units,sitecode,sitename,site-variable,year
4/16/03 5:30,0.34,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
4/16/03 6:30,0.36,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
4/16/03 11:30,0.38,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
4/16/03 12:30,0.38,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
5/5/03 8:30,0.15,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
5/5/03 9:30,0.15,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
5/5/03 13:00,0.16,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
5/5/03 14:00,0.17,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
6/3/03 12:00,0.52,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
6/3/03 13:00,0.55,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
6/4/03 8:30,0.24,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
6/4/03 9:30,0.2,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
7/2/03 8:00,0.07,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
7/2/03 9:00,0.08,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
7/2/03 12:30,0.08,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
7/2/03 13:30,0.1,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
8/13/03 7:30,0.13,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
8/13/03 8:30,0.12,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
8/13/03 11:00,0.14,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
8/13/03 12:00,0.13,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
9/30/03 8:30,0.08,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
9/30/03 9:30,0.28,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
9/30/03 12:30,1.05,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
9/30/03 13:30,0.18,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
11/3/03 7:30,0.71,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
11/3/03 8:30,1.09,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
11/3/03 11:00,0.82,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
11/3/03 12:00,0.39,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
11/26/03 7:30,0.42,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
11/26/03 8:30,0.45,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
11/26/03 11:00,0.34,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
11/26/03 12:00,0.29,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2003
4/6/04 14:25,0.68,Silica As Sio2,mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,GRBCML - Silica As Sio2 - mg/l,2004
