Week #,Sample Date,Month,Day,Year,Station,Alexandrium         (cells/liter),PN Large (?3 um)            (cells/liter),PN Small (<3 um) (cells/liter)
9,2/26/2017,2,26,2017,HHHR2,0,0,90
10,3/5/2017,3,5,2017,HHHR2,0,0,225
11,3/13/2017,3,13,2017,HHHR2,0,0,127.5
12,3/19/2017,3,19,2017,HHHR2,0,0,0
13,3/27/2017,3,27,2017,HHHR2,0,0,0
14,4/2/2017,4,2,2017,HHHR2,0,0,0
15,4/10/2017,4,10,2017,HHHR2,0,0,0
16,4/17/2017,4,17,2017,HHHR2,22.5,0,30
17,4/23/2017,4,23,2017,HHHR2,0,0,0
19,5/8/2017,5,8,2017,HHHR2,45,0,0
20,5/15/2017,5,15,2017,HHHR2,22.5,0,0
21,5/23/2017,5,23,2017,HHHR2,7.5,0,0
22,5/29/2017,5,29,2017,HHHR2,7.5,0,0
23,6/5/2017,6,5,2017,HHHR2,22.5,0,0
24,6/12/2017,6,12,2017,HHHR2,67.5,240,60
25,6/18/2017,6,18,2017,HHHR2,15,420,1087.5
26,6/26/2017,6,26,2017,HHHR2,0,4342.5,135
27,7/3/2017,7,3,2017,HHHR2,52.5,60,45
28,7/10/2017,7,10,2017,HHHR2,7.5,30,0
29,7/17/2017,7,17,2017,HHHR2,7.5,172.5,577.5
30,7/24/2017,7,24,2017,HHHR2,0,37.5,780
31,7/30/2017,7,30,2017,HHHR2,0,15,315
32,8/7/2017,8,7,2017,HHHR2,0,172.5,397.5
33,8/14/2017,8,14,2017,HHHR2,0,67.5,3367.5
34,8/21/2017,8,21,2017,HHHR2,0,0,0
35,8/28/2017,8,28,2017,HHHR2,0,0,0
36,9/4/2017,9,4,2017,HHHR2,0,0,0
37,9/11/2017,9,11,2017,HHHR2,0,0,1170
38,9/18/2017,9,18,2017,HHHR2,0,90,997.5
39,9/25/2017,9,25,2017,HHHR2,0,142.5,150
40,10/2/2017,10,2,2017,HHHR2,0,3075,
41,10/9/2017,10,9,2017,HHHR2,0,0,300
42,10/16/2017,10,16,2017,HHHR2,0,0,60
43,10/24/2017,10,24,2017,HHHR2,0,0,0
44,10/30/2017,10,30,2017,HHHR2,0,0,0
45,11/6/2017,11,6,2017,HHHR2,0,0,0
46,11/13/2017,11,13,2017,HHHR2,0,577.5,967.5
47,11/20/2017,11,20,2017,HHHR2,0,217.5,457.5
48,11/28/2017,11,28,2017,HHHR2,0,1290,1410
49,12/4/2017,12,4,2017,HHHR2,0,,
50,12/11/2017,12,11,2017,HHHR2,0,1125,900
51,12/18/2017,12,18,2017,HHHR2,0,,
51,12/21/2017,12,21,2017,HHHR2,0,2235,1695
52,12/26/2017,12,26,2017,HHHR2,0,1282.5,112.5
52,12/29/2017,12,29,2017,HHHR2,0,1477.5,0
1,1/1/2018,1,1,2018,HHHR2,0,1035,315
2,1/11/2018,1,11,2018,HHHR2,0,277.5,0
3,1/16/2018,1,16,2018,HHHR2,0,82.5,0
3,1/18/2018,1,18,2018,HHHR2,0,420,0
4,1/26/2018,1,26,2018,HHHR2,0,120,60
5,2/1/2018,2,1,2018,HHHR2,0,30,0
6,2/9/2018,2,9,2018,HHHR2,0,0,90
7,2/16/2018,2,16,2018,HHHR2,0,840,877.5
8,2/22/2018,2,22,2018,HHHR2,0,105,840
9,3/1/2018,3,1,2018,HHHR2,0,112.5,75
11,3/12/2018,3,12,2018,HHHR2,0,0,0
11,3/15/2018,3,15,2018,HHHR2,0,30,0
12,3/22/2018,3,22,2018,HHHR2,0,0,0
13,3/29/2018,3,29,2018,HHHR2,0,0,0
14,4/5/2018,4,5,2018,HHHR2,0,0,0
15,4/12/2018,4,12,2018,HHHR2,0,0,135
16,4/19/2018,4,19,2018,HHHR2,7.5,22.5,22.5
17,4/26/2018,4,26,2018,HHHR2,7.5,0,0
18,5/3/2018,5,3,2018,HHHR2,0,0,0
19,5/10/2018,5,10,2018,HHHR2,0,0,0
20,5/17/2018,5,17,2018,HHHR2,7.5,0,0
21,5/24/2018,5,24,2018,HHHR2,0,0,20850
22,5/31/2018,5,31,2018,HHHR2,0,75,0
23,6/7/2018,6,7,2018,HHHR2,22.5,7.5,0
24,6/14/2018,6,14,2018,HHHR2,0,0,0
25,6/21/2018,6,21,2018,HHHR2,0,0,0
26,6/28/2018,6,28,2018,HHHR2,45,1110,12510
28,7/12/2018,7,12,2018,HHHR2,0,0,202.5
29,7/19/2018,7,19,2018,HHHR2,0,0,15
30,7/26/2018,7,26,2018,HHHR2,15,247.5,1582.5
31,8/2/2018,8,2,2018,HHHR2,0,120,37.5
32,8/8/2018,8,8,2018,HHHR2,0,1170,577.5
33,8/16/2018,8,16,2018,HHHR2,0,555,922.5
34,8/23/2018,8,23,2018,HHHR2,0,225,45
35,8/30/2018,8,30,2018,HHHR2,0,1762.5,1852.5
36,9/6/2018,9,6,2018,HHHR2,0,112.5,30
37,9/13/2018,9,13,2018,HHHR2,0,0,0
38,9/20/2018,9,20,2018,HHHR2,0,0,0
39,9/27/2018,9,27,2018,HHHR2,0,0,30
40,10/4/2018,10,4,2018,HHHR2,0,0,0
41,10/11/2018,10,11,2018,HHHR2,0,427.5,622.5
42,10/16/2018,10,16,2018,HHHR2,0,30,180
43,10/23/2018,10,23,2018,HHHR2,0,367.5,600
44,10/30/2018,10,30,2018,HHHR2,0,255,307.5
45,11/6/2018,11,6,2018,HHHR2,0,277.5,165
46,11/13/2018,11,13,2018,HHHR2,0,0,0
47,11/20/2018,11,20,2018,HHHR2,0,105,0
48,11/27/2018,11,27,2018,HHHR2,0,0,0
49,12/5/2018,12,5,2018,HHHR2,0,0,0
51,12/18/2018,12,18,2018,HHHR2,0,150,0
53,12/31/2018,12,31,2018,HHHR2,0,405,0
2,1/7/2019,1,7,2019,HHHR2,0,0,0
4,1/22/2019,1,22,2019,HHHR2,0,0,0
6,2/5/2019,2,5,2019,HHHR2,0,0,0
8,2/18/2019,2,18,2019,HHHR2,0,0,0
9,2/25/2019,2,25,2019,HHHR2,0,0,0
10,3/5/2019,3,5,2019,HHHR2,0,22.5,0
11,3/11/2019,3,11,2019,HHHR2,0,0,0
12,3/18/2019,3,18,2019,HHHR2,0,0,0
13,3/25/2019,3,25,2019,HHHR2,0,0,0
14,4/3/2019,4,3,2019,HHHR2,0,0,0
15,4/7/2019,4,7,2019,HHHR2,0,0,0
16,4/17/2019,4,17,2019,HHHR2,0,0,0
17,4/23/2019,4,23,2019,HHHR2,0,0,0
18,5/1/2019,5,1,2019,HHHR2,15,0,0
19,5/8/2019,5,8,2019,HHHR2,15,0,0
20,5/15/2019,5,15,2019,HHHR2,285,165,30
21,5/21/2019,5,21,2019,HHHR2,22.5,37.5,22.5
22,5/29/2019,5,29,2019,HHHR2,150,15,0
23,6/3/2019,6,3,2019,HHHR2,502.5,0,0
24,6/11/2019,6,11,2019,HHHR2,307.5,592.5,0
25,6/18/2019,6,18,2019,HHHR2,157.5,1695,135
26,6/25/2019,6,25,2019,HHHR2,307.5,0,0
27,7/2/2019,7,2,2019,HHHR2,1807.5,60,240
28,7/10/2019,7,10,2019,HHHR2,877.5,0,0
29,7/17/2019,7,17,2019,HHHR2,217.5,90,15
30,7/24/2019,7,24,2019,HHHR2,30,285,217.5
31,7/30/2019,7,30,2019,HHHR2,75,1440,1417.5
32,8/5/2019,8,5,2019,HHHR2,15,4110,855
33,8/15/2019,8,15,2019,HHHR2,0,,3307.5
34,8/19/2019,8,19,2019,HHHR2,0,885,67.5
35,8/26/2019,8,26,2019,HHHR2,0,172.5,15
36,9/3/2019,9,3,2019,HHHR2,0,645,0
37,9/12/2019,9,12,2019,HHHR2,0,360,120
38,9/17/2019,9,17,2019,HHHR2,0,892.5,705
39,9/23/2019,9,23,2019,HHHR2,0,382.5,457.5
40,10/1/2019,10,1,2019,HHHR2,0,240,60
41,10/7/2019,10,7,2019,HHHR2,0,0,712.5
42,10/14/2019,10,14,2019,HHHR2,0,90,135
43,10/22/2019,10,22,2019,HHHR2,0,202.5,937.5
44,10/30/2019,10,30,2019,HHHR2,0,150,217.5
45,11/4/2019,11,4,2019,HHHR2,0,0,97.5
46,11/11/2019,11,11,2019,HHHR2,0,60,210
47,11/19/2019,11,19,2019,HHHR2,0,0,0
49,12/4/2019,12,4,2019,HHHR2,0,0,0
6,2/4/2020,2,4,2020,HHHR2,0,180,277.5
7,2/12/2020,2,12,2020,HHHR2,0,30,397.5
8,2/18/2020,2,18,2020,HHHR2,0,180,1372.5
9,2/25/2020,2,25,2020,HHHR2,0,0,3247.5
10,3/4/2020,3,4,2020,HHHR2,0,405,5362.5
11,3/9/2020,3,9,2020,HHHR2,0,0,457.5
12,3/15/2020,3,15,2020,HHHR2,0,0,1597.5
13,3/23/2020,3,23,2020,HHHR2,0,0,397.5
14,3/30/2020,3,30,2020,HHHR2,0,0,532.5
15,4/6/2020,4,6,2020,HHHR2,0,0,0
16,4/13/2020,4,13,2020,HHHR2,0,0,22.5
17,4/20/2020,4,20,2020,HHHR2,0,0,30
18,4/27/2020,4,27,2020,HHHR2,0,0,37.5
19,5/4/2020,5,4,2020,HHHR2,0,0,817.5
20,5/13/2020,5,13,2020,HHHR2,30,0,150
21,5/21/2020,5,21,2020,HHHR2,0,4605,8475
22,5/26/2020,5,26,2020,HHHR2,0,0,
22,5/27/2020,5,27,2020,HHHR2,,,1150000
23,6/1/2020,6,1,2020,HHHR2,0,2025,520000
24,6/8/2020,6,8,2020,HHHR2,0,120,420000
25,6/15/2020,6,15,2020,HHHR2,0,0,8670
26,6/22/2020,6,22,2020,HHHR2,0,0,66562.5
27,6/29/2020,6,29,2020,HHHR2,0,0,85087.5
28,7/6/2020,7,6,2020,HHHR2,0,0,2032.5
29,7/13/2020,7,13,2020,HHHR2,0,0,285
