"Year","Month","Station","Alex","Large_PN","Small_PN"
2017,2,"HHHR2",0,0,90
2017,3,"HHHR2",0,0,352.5
2017,4,"HHHR2",22.5,0,30
2017,5,"HHHR2",82.5,0,0
2017,6,"HHHR2",105,5002.5,1282.5
2017,7,"HHHR2",67.5,315,1717.5
2017,8,"HHHR2",0,240,3765
2017,9,"HHHR2",0,232.5,2317.5
2017,10,"HHHR2",0,3075,360
2017,11,"HHHR2",0,2085,2835
2017,12,"HHHR2",0,6120,2707.5
2018,1,"HHHR2",0,1935,375
2018,2,"HHHR2",0,975,1807.5
2018,3,"HHHR2",0,142.5,75
2018,4,"HHHR2",15,22.5,157.5
2018,5,"HHHR2",7.5,75,20850
2018,6,"HHHR2",67.5,1117.5,12510
2018,7,"HHHR2",15,247.5,1800
2018,8,"HHHR2",0,3832.5,3435
2018,9,"HHHR2",0,112.5,60
2018,10,"HHHR2",0,1080,1710
2018,11,"HHHR2",0,382.5,165
2018,12,"HHHR2",0,555,0
2019,1,"HHHR2",0,0,0
2019,2,"HHHR2",0,0,0
2019,3,"HHHR2",0,22.5,0
2019,4,"HHHR2",0,0,0
2019,5,"HHHR2",487.5,217.5,52.5
2019,6,"HHHR2",1275,2287.5,135
2019,7,"HHHR2",3007.5,1875,1890
2019,8,"HHHR2",15,5167.5,4245
2019,9,"HHHR2",0,2280,1282.5
2019,10,"HHHR2",0,682.5,2062.5
2019,11,"HHHR2",0,60,307.5
2019,12,"HHHR2",0,0,0
2020,2,"HHHR2",0,390,5295
2020,3,"HHHR2",0,405,8347.5
2020,4,"HHHR2",0,0,90
2020,5,"HHHR2",30,4605,1159442.5
2020,6,"HHHR2",0,2145,1100320
2020,7,"HHHR2",0,1455,25800
2020,8,"HHHR2",0,2557.5,5782.5
2020,9,"HHHR2",0,9450,24442.5
2020,10,"HHHR2",0,39900,1350
2020,11,"HHHR2",0,59325,2475
2020,12,"HHHR2",0,3892.5,3555
2021,1,"HHHR2",0,772.5,1402.5
2021,2,"HHHR2",0,45,0
2021,3,"HHHR2",0,225,60
2021,4,"HHHR2",52.5,0,0
2021,5,"HHHR2",0,0,0
2021,6,"HHHR2",0,0,0
2021,7,"HHHR2",0,0,0
2021,8,"HHHR2",0,0,0
2021,9,"HHHR2",0,0,37.5
2021,10,"HHHR2",0,0,0
2021,11,"HHHR2",0,247.5,0
2021,12,"HHHR2",0,645,0
2022,1,"HHHR2",7.5,1252.5,0
2022,2,"HHHR2",0,30,690
2022,3,"HHHR2",30,427.5,32100
2022,4,"HHHR2",7.5,390,7.5
2022,5,"HHHR2",187.5,127.5,0
2022,6,"HHHR2",6615,82.5,0
2022,7,"HHHR2",1260,187.5,7237.5
2022,8,"HHHR2",15,0,30
