"Station","Year","Month","Species","Sum","MoAb"
"UNH Pier",2017,2,"Alex",0,"Feb"
"UNH Pier",2017,3,"Alex",15,"Mar"
"UNH Pier",2017,4,"Alex",30,"Apr"
"UNH Pier",2017,5,"Alex",180,"May"
"UNH Pier",2017,6,"Alex",120,"Jun"
"UNH Pier",2017,7,"Alex",45,"Jul"
"UNH Pier",2017,8,"Alex",30,"Aug"
"UNH Pier",2017,9,"Alex",0,"Sep"
"UNH Pier",2017,10,"Alex",0,"Oct"
"UNH Pier",2017,11,"Alex",0,"Nov"
"UNH Pier",2017,12,"Alex",0,"Dec"
"UNH Pier",2018,1,"Alex",0,"Jan"
"UNH Pier",2018,2,"Alex",0,"Feb"
"UNH Pier",2018,3,"Alex",0,"Mar"
"UNH Pier",2018,4,"Alex",15,"Apr"
"UNH Pier",2018,5,"Alex",30,"May"
"UNH Pier",2018,6,"Alex",15,"Jun"
"UNH Pier",2018,7,"Alex",30,"Jul"
"UNH Pier",2018,8,"Alex",0,"Aug"
"UNH Pier",2018,9,"Alex",0,"Sep"
"UNH Pier",2018,10,"Alex",0,"Oct"
"UNH Pier",2018,11,"Alex",0,"Nov"
"UNH Pier",2018,12,"Alex",0,"Dec"
"UNH Pier",2019,1,"Alex",0,"Jan"
"UNH Pier",2019,2,"Alex",0,"Feb"
"UNH Pier",2019,3,"Alex",0,"Mar"
"UNH Pier",2019,4,"Alex",0,"Apr"
"UNH Pier",2019,5,"Alex",210,"May"
"UNH Pier",2019,6,"Alex",750,"Jun"
"UNH Pier",2019,7,"Alex",765,"Jul"
"UNH Pier",2019,8,"Alex",0,"Aug"
"UNH Pier",2019,9,"Alex",0,"Sep"
"UNH Pier",2019,10,"Alex",0,"Oct"
"UNH Pier",2019,11,"Alex",0,"Nov"
"UNH Pier",2020,2,"Alex",0,"Feb"
"UNH Pier",2020,3,"Alex",52.5,"Mar"
"UNH Pier",2020,4,"Alex",0,"Apr"
"UNH Pier",2020,5,"Alex",22.5,"May"
"UNH Pier",2020,6,"Alex",15,"Jun"
"UNH Pier",2020,7,"Alex",0,"Jul"
"UNH Pier",2020,8,"Alex",0,"Aug"
"UNH Pier",2020,9,"Alex",0,"Sep"
"UNH Pier",2020,10,"Alex",0,"Oct"
"UNH Pier",2020,11,"Alex",0,"Nov"
"UNH Pier",2020,12,"Alex",0,"Dec"
"UNH Pier",2021,1,"Alex",0,"Jan"
"UNH Pier",2021,2,"Alex",0,"Feb"
"UNH Pier",2021,3,"Alex",0,"Mar"
"UNH Pier",2021,4,"Alex",37.5,"Apr"
"UNH Pier",2021,5,"Alex",37.5,"May"
"UNH Pier",2021,6,"Alex",15,"Jun"
"UNH Pier",2021,7,"Alex",0,"Jul"
"UNH Pier",2021,8,"Alex",7.5,"Aug"
"UNH Pier",2021,9,"Alex",0,"Sep"
"UNH Pier",2021,10,"Alex",0,"Oct"
"UNH Pier",2021,11,"Alex",0,"Nov"
"UNH Pier",2021,12,"Alex",0,"Dec"
"UNH Pier",2022,1,"Alex",0,"Jan"
"UNH Pier",2022,2,"Alex",0,"Feb"
"UNH Pier",2017,2,"Large_PN",0,"Feb"
"UNH Pier",2017,3,"Large_PN",0,"Mar"
"UNH Pier",2017,4,"Large_PN",0,"Apr"
"UNH Pier",2017,5,"Large_PN",0,"May"
"UNH Pier",2017,6,"Large_PN",960,"Jun"
"UNH Pier",2017,7,"Large_PN",60,"Jul"
"UNH Pier",2017,8,"Large_PN",0,"Aug"
"UNH Pier",2017,9,"Large_PN",517.5,"Sep"
"UNH Pier",2017,10,"Large_PN",247.5,"Oct"
"UNH Pier",2017,11,"Large_PN",847.5,"Nov"
"UNH Pier",2017,12,"Large_PN",2685,"Dec"
"UNH Pier",2018,1,"Large_PN",712.5,"Jan"
"UNH Pier",2018,2,"Large_PN",195,"Feb"
"UNH Pier",2018,3,"Large_PN",0,"Mar"
"UNH Pier",2018,4,"Large_PN",0,"Apr"
"UNH Pier",2018,5,"Large_PN",37.5,"May"
"UNH Pier",2018,6,"Large_PN",75,"Jun"
"UNH Pier",2018,7,"Large_PN",1237.5,"Jul"
"UNH Pier",2018,8,"Large_PN",472.5,"Aug"
"UNH Pier",2018,9,"Large_PN",210,"Sep"
"UNH Pier",2018,10,"Large_PN",735,"Oct"
"UNH Pier",2018,11,"Large_PN",210,"Nov"
"UNH Pier",2018,12,"Large_PN",60,"Dec"
"UNH Pier",2019,1,"Large_PN",0,"Jan"
"UNH Pier",2019,2,"Large_PN",0,"Feb"
"UNH Pier",2019,3,"Large_PN",0,"Mar"
"UNH Pier",2019,4,"Large_PN",0,"Apr"
"UNH Pier",2019,5,"Large_PN",0,"May"
"UNH Pier",2019,6,"Large_PN",120,"Jun"
"UNH Pier",2019,7,"Large_PN",2227.5,"Jul"
